00063;3;;25;31;;;60;70;
;;26;;45;;65;76;84
7;18;29;;;;66;78;
00115;3;14;20;31;;;;71;
6;18;22;;;55;;72;
9;19;;;;58;;74;86
00127;3;;24;;42;;;70;81
;11;27;;;51;;71;84
;;28;;49;58;68;79;
00489;;11;22;30;;53;;;81
4;13;;;;;61;75;83
9;19;;38;49;;;76;
00544;;14;;;43;53;65;74;
;15;26;34;;;66;;88
;;27;;45;59;;76;89
00641;;12;20;;;50;;71;81
;15;;34;;53;;72;82
;16;;;48;55;66;;85
00778;;12;;30;;52;61;71;
2;;;31;;54;;75;84
4;;25;;49;55;;;86
01050;;;;32;;50;60;71;81
5;11;25;;;53;;;87
9;18;26;39;;;67;;
01249;1;13;;35;;50;;71;
7;;25;36;;52;;;88
;17;26;37;46;;;75;
01352;;;23;;42;;63;70;81
;14;;33;;;64;73;88
9;15;;36;49;;;;89
01397;;;23;;40;51;62;;80
5;15;24;;;54;67;;
;;;35;48;58;;79;85
01659;;12;;36;41;50;61;;
;16;;38;43;53;63;;
7;18;27;;48;;66;;
01665;;10;;;;52;62;70;82
4;;24;;45;53;;71;
7;;;38;48;58;;78;
01711;2;;;30;40;;62;;81
;14;;;44;;65;74;85
;18;29;;;57;;75;86
01760;1;;23;30;;52;;70;
;18;26;;45;54;;;84
;19;;38;;59;67;77;
01844;;;;31;40;50;;70;85
;12;;;;56;66;72;88
;;26;34;47;58;68;;
01887;1;14;22;;41;;;;82
3;;;38;45;;64;;84
7;;26;39;;59;68;;
02114;5;10;22;;;;60;73;
;13;24;;43;52;;;84
8;19;26;36;;;66;;
02217;;11;;;45;50;65;71;
5;17;24;;48;54;;;
;18;29;39;49;;;;86
02242;1;;24;34;;;61;71;
4;16;;;41;;66;75;
;17;;38;;57;68;;90
02300;;10;24;32;42;;;;84
6;;26;;;52;64;72;
;12;27;36;;57;;;89
02473;3;12;;;;50;;70;83
;;23;32;46;;63;;86
8;16;;37;;58;67;;
02514;;10;21;;;55;64;;81
;11;;33;44;56;;73;
8;13;;;47;;69;79;
02555;4;11;24;;41;;;;82
5;12;;;;52;67;77;
8;14;;;45;59;;78;
02593;4;;21;32;41;;;73;
;16;24;34;;52;62;;
;19;25;36;49;;;;87
02732;1;11;;;42;;64;;83
;;28;;;53;65;74;87
6;15;;;49;;;76;89
02773;;;20;35;41;54;;74;
;;;38;;57;66;75;84
8;16;27;;;58;;79;
02822;4;12;;30;43;;;74;
5;18;26;;46;;67;;
;19;;;48;58;69;79;
02875;2;11;20;30;;50;;;
5;;;31;45;52;;;86
8;17;29;;;;64;74;
02931;1;;;;40;52;;70;81
5;13;23;;45;;;;83
8;16;29;39;;;69;;
02938;2;11;;;;;62;74;86
;12;21;;44;;;78;87
8;;26;38;;;;79;88
02958;5;11;20;;;50;;;81
;;25;;46;;61;74;88
;18;28;;48;55;;;89
03172;;11;24;31;;;65;73;
;13;26;;45;;67;;84
;14;27;38;;;;79;86
03363;1;;;;43;52;67;;85
5;12;;36;44;;68;;
;;26;;49;;69;78;88
03587;;15;;;40;;60;71;85
5;16;23;;41;;;74;
;;26;38;;58;66;78;
03921;;11;21;;41;50;63;;
8;;22;;43;;65;;89
9;;25;38;46;;;;90
03992;1;11;24;30;40;;;;
;;;37;;57;62;73;83
8;;29;;47;58;;;88
04086;;;;31;42;;63;70;80
4;15;23;;;57;;75;
;19;26;34;;58;;;85
04103;;11;;;41;53;;71;82
4;13;;;43;58;63;;
;16;27;37;;59;;74;
04152;;;25;;40;53;;70;80
;16;26;37;;54;68;;
7;;;38;;58;;79;88
04286;1;13;;;40;;66;;80
;;;34;;52;67;72;84
;19;;37;;55;69;;89
04346;1;12;;;40;;;70;80
2;14;24;;;54;;;87
;17;;;47;;65;75;88
04427;;10;25;32;41;;62;;
;18;;36;42;53;;;85
8;19;;39;;56;68;;
04629;1;11;21;36;;;64;;
;;23;37;;53;;74;83
8;;25;;;57;69;75;
04660;5;10;;;42;50;64;;
6;13;24;;43;;;;88
;19;28;39;;;;77;89
04784;5;12;;;43;50;;72;
;15;28;36;44;;;;85
8;;;;47;;68;79;88
04815;;10;23;33;43;;;71;
3;;27;35;45;;;;84
;16;;36;49;58;;77;
04942;2;;;;40;51;61;;82
5;;;;44;56;66;;86
7;18;23;;;58;67;;
05154;;;20;34;;52;63;71;
;14;;38;47;55;;;84
8;;29;;48;58;;;88
05232;;10;;36;;51;63;71;
7;13;;38;;;;76;87
;14;25;39;;56;;;90
05371;;13;;32;40;51;;;84
;;22;;;58;63;73;85
;;25;36;47;59;;79;
05376;4;;;31;40;;;73;81
;13;;;43;;64;75;84
;;;35;47;55;67;;85
05398;;10;21;30;;51;;;84
;15;27;31;45;58;;;
;;29;38;47;;63;77;
05452;;;;;40;50;60;73;84
4;;28;37;;53;;;85
9;19;29;38;;;;;88
05792;;12;20;30;40;;;70;
7;15;;31;;;68;;82
9;18;;34;;56;;;85
05852;;;;;42;51;62;77;
;13;23;33;;52;;;83
9;;27;;49;;;79;90
05853;2;11;22;;;52;;72;
6;;24;32;;;65;75;
8;17;;34;;;;79;83
05865;3;14;;;;56;60;;81
5;15;26;;44;;;72;
;;27;38;46;58;67;;
05881;1;11;;;42;;65;72;
2;12;22;36;;;;;88
7;17;;37;46;56;;;
06162;;12;23;;42;;;70;82
;14;25;;43;56;66;;
;17;28;;;;67;73;89
06165;4;10;;;40;52;60;;
;11;23;;43;55;;;85
9;;24;;45;58;;;86
06213;;;20;;;50;60;;84
;;21;;44;55;63;75;
;18;29;;45;58;65;;
06551;;11;21;32;;;62;;80
6;12;24;;;;64;;81
9;16;;36;;58;66;;
06627;5;10;;31;;;;71;87
;;26;32;45;;66;78;
;16;27;;;59;69;79;
06653;;;20;34;;;60;71;
;;22;;;55;65;74;85
9;19;;;46;57;;;86
06732;;12;;32;44;50;;;83
;;;33;46;51;;71;86
9;;28;;49;;67;79;
06749;1;10;21;31;;;61;;
6;;;35;44;;62;74;
;19;26;;47;;63;77;
06955;;10;20;30;;51;;72;
3;13;26;36;;54;;;
;;;39;46;59;69;79;
06962;;;21;;40;50;61;;80
;;22;;42;51;;77;84
9;19;;;47;;;78;87
07050;;;20;30;;;65;73;80
;13;;34;;55;66;76;
8;;28;;;59;67;77;
07172;5;;;;41;51;60;;80
7;;24;;;;61;74;86
;;29;;47;57;65;;87
07402;;;21;;40;51;60;;80
2;;;;42;;64;73;88
7;;28;39;49;58;;;
07593;;14;;31;42;;;71;80
7;;27;;47;;;72;82
;;;36;;59;68;74;89
07699;1;;;32;;;64;70;84
5;;28;;47;;65;;87
;;29;39;48;;;78;90
07728;;;20;;40;;65;72;82
4;;23;;;53;66;;84
6;;;;48;55;67;78;
07755;;;26;;42;51;64;;
7;;28;;43;54;;73;
9;18;;38;;;69;;84
07806;4;12;;;;50;;71;84
5;;;33;;51;;74;86
8;;25;;;52;68;;88
08113;;10;;32;40;54;62;;
;11;21;;43;55;;;82
9;;26;38;;;;78;84
08194;2;15;;;41;53;;;80
;;26;32;43;54;;75;
7;;27;;47;;;77;87
08199;2;10;24;;42;;;72;
4;17;27;;;52;;73;
;;29;34;;;66;78;85
08209;;;;;43;50;65;71;80
;;25;31;;54;66;;88
;18;28;38;;;;77;89
08272;;10;21;30;;;;72;82
;13;;;43;56;;74;84
8;17;28;39;49;;;;
08342;;15;20;;;50;64;;86
3;17;;;;;67;73;88
5;;26;;48;;69;75;
08346;;13;23;30;;53;;70;
;16;25;;;54;68;;82
;;27;;47;57;;79;85
08574;;;24;31;;52;61;70;
6;14;;;45;55;65;;
9;19;;;46;58;;76;
08598;5;;21;35;;55;;71;
6;;28;36;;;;73;84
8;;;;;58;65;78;86
08663;;;20;;40;;61;74;80
8;16;;37;;56;;;82
9;;;;49;;63;79;84
08891;;10;;;40;50;61;72;
6;18;22;;42;;;76;
8;19;;36;47;;;79;
09144;3;;24;34;;53;60;;
4;14;25;35;;;;;82
9;;28;39;46;;;;86
09272;;;20;;40;50;61;72;
4;14;22;;;;63;74;
;19;24;38;44;;64;;
09452;4;10;;;;51;62;73;
;15;22;;;52;;77;84
9;;26;39;48;53;;;
09598;;;20;32;;54;60;71;
7;;;36;45;55;62;;
8;18;29;39;;56;;;
09627;;;;30;41;;60;73;81
6;;24;;;54;66;75;
9;19;28;;;;69;;85
09688;;;21;30;43;57;;;81
;16;26;34;;;68;73;
;;27;36;;;69;78;90
09789;;;21;30;43;;61;72;
7;16;24;;;;66;73;
;18;;38;48;;69;77;
09860;1;17;;30;;;61;;81
2;;;32;;53;63;76;
9;;;37;49;;;77;88
09924;2;;22;;;;62;70;81
5;;;36;;;63;74;89
;18;;37;45;;;78;90
09978;1;;;31;41;50;;;82
4;18;;;42;51;;;89
7;19;;39;;;68;77;
10000;2;;21;;;;63;72;81
5;14;24;;46;;;73;
9;15;27;;49;;;79;
10049;;;23;;;50;62;73;81
2;;25;;;58;64;74;
;15;28;;48;;66;;87
10057;;14;23;;42;51;65;;
3;15;27;36;;;67;;
;17;28;;49;55;;;90
10107;3;14;;;;;60;72;81
4;;;;;54;68;74;83
;19;;34;;59;69;77;
10512;;12;;31;43;55;;73;
5;;23;32;46;;;;81
;18;29;;48;;;79;86
10605;;;20;31;;55;;72;84
8;17;;;;56;66;;85
;;23;;44;58;;79;90
10609;;11;20;30;41;;61;;
;15;;;48;;67;74;88
9;;29;38;;;;76;90
10762;2;11;;32;40;;;;80
4;17;;;43;51;64;;
8;;25;38;46;57;;;
10795;2;;;;41;51;62;;80
;11;;35;;53;64;;87
;18;;;;54;65;76;90
10873;;;25;31;41;;60;70;
6;14;26;;;55;62;;
9;15;;;;58;65;;90
10910;;15;25;32;;;62;;82
2;17;;;47;;;75;85
3;19;;;48;59;;;89
10975;;12;24;;40;;66;;86
;13;;37;42;54;;74;
